id,assetFamily,priority,gapKind,existingQuantity,quantityUnit,missingQuantityEstimate,revisionQuantityEstimate,desiredNativeResolution,animationRequirement,pipelineApplicability,currentConsumer,mechanicsDependencies,estimationAssumptions,acceptance,existingAssetIds,evidenceSources,parentEvidence,codeEvidence,crossDisciplineNote
ART-01,Qualified strategic specialist identities,P1,dedicated-role-gap,0,single-frame qualified sprites,"{""minimumDistinctSharedPilot"": 4, ""fullQualifiedRollout"": 96}",0,"64x64 (skirmisher/arbalester/halberdier), 96x96 (lancer); existing foot/mount pivots",Static se first; idle only after identity review,"{""Blender"": ""Reuse the existing four battle rigs only as source/reference; change camera/materials to strategic culture grammar, not raw battle-sheet copying"", ""PixelFactory"": ""Aseprite/native palette finish; paf pixelate cannot author the 96 identities"", ""handReview"": ""Required: weapons, handedness, silhouette, 24-culture source/native/runtime review""}","Current recruitment/cards/map select SHARED_UNIT_ART: two scout aliases, one spearman alias, one cavalry alias",Extend qualified-role registry/bindings; retain generic fallbacks and exact content IDs,"Four playable specialist roles x 24 cultures = 96 dedicated qualified sprites if full parity is commissioned. A 4-sprite shared specialist pilot can correct immediate role ambiguity, but does not provide 96 culture identities. Current battle already has all four distinct role sets; no new mechanical unit is requested.",Skirmisher javelin vs arbalester crossbow; halberd blade vs pike; lancer lance vs riding sword identifiable at UI/map use size; preserve old approvals until replacements reviewed,"[""battle.unit.skirmisher"", ""battle.unit.arbalester"", ""battle.unit.halberdier"", ""battle.unit.lancer""]","[""inventory.json"", ""art-report.md""]",,,
ART-02,Shared battlefield silhouette/material refinement,P1,quality-revision,13,shared animated role sets,0,"{""pilot"": 3, ""maximum"": 13}",64x64 foot; 96x96 mounts/hulls; unchanged pivots,"Preserve current two e/w facings x five states; 64 frames/set, 832 existing frames","{""Blender"": ""Best fit: existing editable rigs, fixed whole-motion camera; refine construction and upper-left material values"", ""PixelFactory"": ""Controlled reduction followed by deliberate Aseprite cluster/outline finishing; exact native hashes"", ""handReview"": ""Required: inspect every revised clip at 1x/4x and live Fit/detail, not just frame 0""}","All 13 battle.unit roles have actual movement, attacks, casualties and naval events",None for art revisions; publication/import and memory regression gates required,"Audit saw thinner rod-like limbs, edge-on shields and flatter heads/materials than strategic art. Start guard/cavalry/transport; do not declare all 832 frames defective. Shared silhouettes are intentional, not 312 missing culture sets.",Keep motion articulation and casualty identity; role readability and world material cohesion must improve without raising native size by default,"[""battle.unit.arbalester"", ""battle.unit.cavalry"", ""battle.unit.coastal_warship"", ""battle.unit.colonist"", ""battle.unit.guard"", ""battle.unit.halberdier"", ""battle.unit.heavy_infantry"", ""battle.unit.lancer"", ""battle.unit.ocean_warship"", ""battle.unit.scout"", ""battle.unit.skirmisher"", ""battle.unit.spearman"", ""battle.unit.transport""]","[""inventory.json"", ""art-report.md""]",,,
ART-03,Biome base/variant value cohesion,P1,quality-revision,36,engine-bound biome tiles,0,"{""initial"": 5, ""reviewScope"": 36}",64x64 pointy-hex native; existing runtime regular-hex fitting,Static,"{""Blender"": ""Optional terrain mass/reference render only; not required for a palette/value correction"", ""PixelFactory"": ""Native pixel re-authoring/versioned sources; fixed palette; no arbitrary global recolor of approved atlas"", ""handReview"": ""Required original-versus-variants, native mixed-repeat and real map/fog views""}",12 current biomes use original+variant1+variant2,No new biome rules; preserve deterministic seed/cell choice and physical geography,"Initial 5 base tiles to triage: desert, grassland, alpine, taiga and ocean. The inspected desert is orange against muted sand variants; the alpine original has larger, high-contrast snow-covered peaks against lower rocky variants. Review all 36; revise only demonstrated mismatches. This is not a technical validation failure.","Large regions should read as continuous materials, not alternating unrelated stamps; no silent palette expansion","[""terrain.alpine"", ""terrain.alpine.variant_1"", ""terrain.alpine.variant_2"", ""terrain.ash_scrub"", ""terrain.ash_scrub.variant_1"", ""terrain.ash_scrub.variant_2"", ""terrain.chalkland"", ""terrain.chalkland.variant_1"", ""terrain.chalkland.variant_2"", ""terrain.desert"", ""terrain.desert.variant_1"", ""terrain.desert.variant_2"", ""terrain.grassland"", ""terrain.grassland.variant_1"", ""terrain.grassland.variant_2"", ""terrain.marsh"", ""terrain.marsh.variant_1"", ""terrain.marsh.variant_2"", ""terrain.ocean"", ""terrain.ocean.variant_1"", ""terrain.ocean.variant_2"", ""terrain.rainforest"", ""terrain.rainforest.variant_1"", ""terrain.rainforest.variant_2"", ""terrain.steppe"", ""terrain.steppe.variant_1"", ""terrain.steppe.variant_2"", ""terrain.taiga"", ""terrain.taiga.variant_1"", ""terrain.taiga.variant_2"", ""terrain.temperate_forest"", ""terrain.temperate_forest.variant_1"", ""terrain.temperate_forest.variant_2"", ""terrain.tundra"", ""terrain.tundra.variant_1"", ""terrain.tundra.variant_2""]","[""inventory.json"", ""art-report.md""]",,,
ART-04,"Shore, banks, road and biome interface kit",P1,current-feature-native-gap,0,bound modular overlay primitives,"{""minimumPilot"": 6, ""starter"": 30, ""upperPlanning"": 48}",0,64x64 shared center/edge ordering; canvas must fit current radius 29 projection,Static initially,"{""Blender"": ""Optional bank/cliff source geometry; hand-authored 2D masks better for topology"", ""PixelFactory"": ""Aseprite/Python mask authoring; paf has no adjacency generator or edge validator"", ""handReview"": ""Required seam/three-way-junction/known-fog/river-continuity map tests""}",Current rivers/roads/lakes/coastal water are procedural renderer features; five old terrain overlay assets are published but NOT live-bound,"New presentation adapter/mask compositor; no change to hex topology, movement, river/crossing rules",Starter 30 = 6 coast edges + 6 coast corners + 6 biome edges + 6 river-bank pieces + 6 road/bank joining pieces. Exact adjacency reduction remains a design/QA task; not a claim all edge combinations fit 30. Begin with a 6-piece coast-edge pilot on the current regular-hex projection; reject or revise that pilot before scaling the kit.,No cracks/double-dark seams; roads/rivers remain observation-derived. Keep current procedural rendering as a correct fallback,"[""terrain.coast"", ""terrain.river"", ""terrain.road"", ""terrain.transitions"", ""terrain.hills""]","[""inventory.json"", ""art-report.md""]",,,
ART-05,Art contracts and current coverage documentation,P1,pipeline-documentation-gap,1,synchronized contract set,0,"{""documentsMinimum"": 3}",No image production,State current battle e/w multi-state and strategic se/static separately,"{""Blender"": ""Update only when authorized; factory stock remains a study"", ""PixelFactory"": ""No processing required"", ""handReview"": ""Editorial cross-check against runtime/native inventory""}",Production decisions currently rely on contradictory docs,None,"THEANDRIL_ART_BIBLE still says 12 cultures / 216 qualified assets, lacks new works/battle state. docs/art/README line 8 still calls CLI single-facing/idle despite sourceClips support. Installed compact guide also describes 12 current + 12 proposed. This audit changes none of them.",One current art contract links historical checkpoints instead of letting historical totals appear current,[],"[""inventory.json"", ""art-report.md""]",,,
ART-06,Battle effects and Waykeeper cast polish,P2,quality-and-state-extension,6,shared sprite sets,0,"{""pilot"": 2, ""maximum"": 6}","64x64; effects pivot (32,32) and Waykeeper (32,56)",Existing five effects + Waykeeper: 8 x 100 ms se one-shot each; optional idle must be an explicit new clip,"{""Blender"": ""Existing project effect/Waykeeper object-keyed recipes; do not mislabel Waykeeper as a full weighted unit rig"", ""PixelFactory"": ""Real Snapper and Aseprite exports already present; manual pixel read"", ""handReview"": ""Required effect silhouette, cast anticipation/recovery and light/dark readability""}",Current melee/projectile/rally/Cinder thread/Bound ward and Waykeeper cast consumers,New idle tag/consumer needed if adding separate idle; no new spells,No missing effects for the currently implemented two spells. Refine representative caster/impact only if live review warrants it.,Effects legible without obscuring targets; no inferred additional magic schools,"[""character.waykeeper"", ""effect.battle_melee"", ""effect.battle_projectile"", ""effect.battle_ember"", ""effect.battle_ward"", ""effect.battle_rally""]","[""inventory.json"", ""art-report.md""]",,,
ART-07,Waykeeper appointment/roster binding and dedicated identity,P1,confirmed-current-consumer-binding-gap,1,binding repair and optional sprite expansion,"{""immediateNewAssetsRequired"": 0, ""recommendedIdlePortraitPilot"": 1, ""optionalQualifiedCultureRollout"": 24}",0,"64x64 at (32,56)",Immediate fix: display one approved still from the existing shared cast. An optional dedicated idle clip must be authored and bound explicitly; preserve the current battle cast.,"{""Blender"": ""Optional source rig adaptation by culture; not automatic tints"", ""PixelFactory"": ""Aseprite palette/cluster finish"", ""handReview"": ""Required: truthful role image in actual paid appointment and attached-agent views; optional culture expansion preserves all 24 culture motifs.""}","Fresh parent Campaign A: Small / 12 cultures / Continents / seed 20260909, Ashen turn 20. After paid Contained ember projection and first own Waykeeper appointment, Edrin Coalstead 2 displays pawn icons labelled Generic in both roster and character sheet.",No new gameplay. loadFactionArtFrame rejects an unqualified role before attempting shared fallback; factionArtId does not register character.waykeeper. Repair the UI route and review a still from the existing approved shared caster before commissioning new art. Characters accompany armies/settlements; do not invent independent map-unit mechanics.,"Immediate binding repair can reuse the existing 64x64 approved caster: zero new images are technically required. One explicit idle/portrait pilot would improve presentation. A subsequent 24-culture Waykeeper set is optional P2 expansion, not the reason the present Generic defect must wait.","Paid appointment, roster row, selected character sheet and attached-agent views display a truthful approved role image without a Generic pawn. Verify Ashen and a second culture, missing-art fallback and deferred-page memory. Preserve the existing cast animation and canonical state.","[""character.waykeeper""]","[""inventory.json"", ""art-report.md""]","[""docs/hermes-analysis/ui/24-waykeeper-appointment.png"", ""docs/hermes-analysis/ui/24-waykeeper-appointment.txt"", ""docs/hermes-analysis/ui/24-waykeeper-appointment.json""]","[""apps/web/src/faction-art.tsx:68-82"", ""apps/web/src/faction-art.tsx:137-151"", ""apps/web/src/characters.tsx:32-43,79,98"", ""packages/art-pipeline/src/faction-art.ts:8-18""]",
ART-08,Published culture strategic kit completeness,P2,complete-with-targeted-polish,432,qualified assets,0,"{""targeted"": 0, ""reviewScope"": 432}",Existing 32/64/96/128 square contracts,"431 static, one 4-frame scout idle; do not request unused walk/death for UI crests","{""Blender"": ""Only target a concrete silhouette revision, not regenerating whole families"", ""PixelFactory"": ""Keep exact originals and editable exports"", ""handReview"": ""Review gaps only; this audit samples families, not all 432 assets""}",All 24 x 18 common roles registered; role aliases handled in ART-01,None,Do not treat 24 new kingdoms/seats as extra art cultures. Existing city/village/hull concepts are valuable.,"Retain upper-left muted materials, distinct silhouettes, original cultural marks and complete extremities","[""character.engineer.ashen_compact"", ""character.engineer.brine_choir"", ""character.engineer.cairnwing_concord"", ""character.engineer.cinder_march"", ""character.engineer.cistern_assembly"", ""character.engineer.emberwake_convocation"", ""character.engineer.glass_tide"", ""character.engineer.iron_covenant"", ""character.engineer.lantern_hospices"", ""character.engineer.manytrack_moot"", ""character.engineer.margin_observance"", ""character.engineer.mire_courts"", ""character.engineer.morrow_spore"", ""character.engineer.red_sluice"", ""character.engineer.reedbound_council"", ""character.engineer.rimehorn_clans"", ""character.engineer.sable_steppe"", ""character.engineer.saltwind_remnant"", ""character.engineer.sepulchral_synod"", ""character.engineer.underhush_exchange"", ""character.engineer.unsealed_companies"", ""character.engineer.velvet_meridian"", ""character.engineer.vesper_court"", ""character.engineer.wardhall_remnant"", ""character.marshal.ashen_compact"", ""character.marshal.brine_choir"", ""character.marshal.cairnwing_concord"", ""character.marshal.cinder_march"", ""character.marshal.cistern_assembly"", ""character.marshal.emberwake_convocation"", ""character.marshal.glass_tide"", ""character.marshal.iron_covenant"", ""character.marshal.lantern_hospices"", ""character.marshal.manytrack_moot"", ""character.marshal.margin_observance"", ""character.marshal.mire_courts"", ""character.marshal.morrow_spore"", ""character.marshal.red_sluice"", ""character.marshal.reedbound_council"", ""character.marshal.rimehorn_clans"", ""character.marshal.sable_steppe"", ""character.marshal.saltwind_remnant"", ""character.marshal.sepulchral_synod"", ""character.marshal.underhush_exchange"", ""character.marshal.unsealed_companies"", ""character.marshal.velvet_meridian"", ""character.marshal.vesper_court"", ""character.marshal.wardhall_remnant"", ""character.surveyor.ashen_compact"", ""character.surveyor.brine_choir"", ""character.surveyor.cairnwing_concord"", ""character.surveyor.cinder_march"", ""character.surveyor.cistern_assembly"", ""character.surveyor.emberwake_convocation"", ""character.surveyor.glass_tide"", ""character.surveyor.iron_covenant"", ""character.surveyor.lantern_hospices"", ""character.surveyor.manytrack_moot"", ""character.surveyor.margin_observance"", ""character.surveyor.mire_courts"", ""character.surveyor.morrow_spore"", ""character.surveyor.red_sluice"", ""character.surveyor.reedbound_council"", ""character.surveyor.rimehorn_clans"", ""character.surveyor.sable_steppe"", ""character.surveyor.saltwind_remnant"", ""character.surveyor.sepulchral_synod"", ""character.surveyor.underhush_exchange"", ""character.surveyor.unsealed_companies"", ""character.surveyor.velvet_meridian"", ""character.surveyor.vesper_court"", ""character.surveyor.wardhall_remnant"", ""settlement.city.ashen_compact"", ""settlement.city.brine_choir"", ""settlement.city.cairnwing_concord"", ""settlement.city.cinder_march"", ""settlement.city.cistern_assembly"", ""settlement.city.emberwake_convocation"", ""settlement.city.glass_tide"", ""settlement.city.iron_covenant"", ""settlement.city.lantern_hospices"", ""settlement.city.manytrack_moot"", ""settlement.city.margin_observance"", ""settlement.city.mire_courts"", ""settlement.city.morrow_spore"", ""settlement.city.red_sluice"", ""settlement.city.reedbound_council"", ""settlement.city.rimehorn_clans"", ""settlement.city.sable_steppe"", ""settlement.city.saltwind_remnant"", ""settlement.city.sepulchral_synod"", ""settlement.city.underhush_exchange"", ""settlement.city.unsealed_companies"", ""settlement.city.velvet_meridian"", ""settlement.city.vesper_court"", ""settlement.city.wardhall_remnant"", ""settlement.town.ashen_compact"", ""settlement.town.brine_choir"", ""settlement.town.cairnwing_concord"", ""settlement.town.cinder_march"", ""settlement.town.cistern_assembly"", ""settlement.town.emberwake_convocation"", ""settlement.town.glass_tide"", ""settlement.town.iron_covenant"", ""settlement.town.lantern_hospices"", ""settlement.town.manytrack_moot"", ""settlement.town.margin_observance"", ""settlement.town.mire_courts"", ""settlement.town.morrow_spore"", ""settlement.town.red_sluice"", ""settlement.town.reedbound_council"", ""settlement.town.rimehorn_clans"", ""settlement.town.sable_steppe"", ""settlement.town.saltwind_remnant"", ""settlement.town.sepulchral_synod"", ""settlement.town.underhush_exchange"", ""settlement.town.unsealed_companies"", ""settlement.town.velvet_meridian"", ""settlement.town.vesper_court"", ""settlement.town.wardhall_remnant"", ""settlement.village.ashen_compact"", ""settlement.village.brine_choir"", ""settlement.village.cairnwing_concord"", ""settlement.village.cinder_march"", ""settlement.village.cistern_assembly"", ""settlement.village.emberwake_convocation"", ""settlement.village.glass_tide"", ""settlement.village.iron_covenant"", ""settlement.village.lantern_hospices"", ""settlement.village.manytrack_moot"", ""settlement.village.margin_observance"", ""settlement.village.mire_courts"", ""settlement.village.morrow_spore"", ""settlement.village.red_sluice"", ""settlement.village.reedbound_council"", ""settlement.village.rimehorn_clans"", ""settlement.village.sable_steppe"", ""settlement.village.saltwind_remnant"", ""settlement.village.sepulchral_synod"", ""settlement.village.underhush_exchange"", ""settlement.village.unsealed_companies"", ""settlement.village.velvet_meridian"", ""settlement.village.vesper_court"", ""settlement.village.wardhall_remnant"", ""ui.badge.ashen_compact"", ""ui.badge.brine_choir"", ""ui.badge.cairnwing_concord"", ""ui.badge.cinder_march"", ""ui.badge.cistern_assembly"", ""ui.badge.emberwake_convocation"", ""ui.badge.glass_tide"", ""ui.badge.iron_covenant"", ""ui.badge.lantern_hospices"", ""ui.badge.manytrack_moot"", ""ui.badge.margin_observance"", ""ui.badge.mire_courts"", ""ui.badge.morrow_spore"", ""ui.badge.red_sluice"", ""ui.badge.reedbound_council"", ""ui.badge.rimehorn_clans"", ""ui.badge.sable_steppe"", ""ui.badge.saltwind_remnant"", ""ui.badge.sepulchral_synod"", ""ui.badge.underhush_exchange"", ""ui.badge.unsealed_companies"", ""ui.badge.velvet_meridian"", ""ui.badge.vesper_court"", ""ui.badge.wardhall_remnant"", ""ui.banner.ashen_compact"", ""ui.banner.brine_choir"", ""ui.banner.cairnwing_concord"", ""ui.banner.cinder_march"", ""ui.banner.cistern_assembly"", ""ui.banner.emberwake_convocation"", ""ui.banner.glass_tide"", ""ui.banner.iron_covenant"", ""ui.banner.lantern_hospices"", ""ui.banner.manytrack_moot"", ""ui.banner.margin_observance"", ""ui.banner.mire_courts"", ""ui.banner.morrow_spore"", ""ui.banner.red_sluice"", ""ui.banner.reedbound_council"", ""ui.banner.rimehorn_clans"", ""ui.banner.sable_steppe"", ""ui.banner.saltwind_remnant"", ""ui.banner.sepulchral_synod"", ""ui.banner.underhush_exchange"", ""ui.banner.unsealed_companies"", ""ui.banner.velvet_meridian"", ""ui.banner.vesper_court"", ""ui.banner.wardhall_remnant"", ""ui.crest.ashen_compact"", ""ui.crest.brine_choir"", ""ui.crest.cairnwing_concord"", ""ui.crest.cinder_march"", ""ui.crest.cistern_assembly"", ""ui.crest.emberwake_convocation"", ""ui.crest.glass_tide"", ""ui.crest.iron_covenant"", ""ui.crest.lantern_hospices"", ""ui.crest.manytrack_moot"", ""ui.crest.margin_observance"", ""ui.crest.mire_courts"", ""ui.crest.morrow_spore"", ""ui.crest.red_sluice"", ""ui.crest.reedbound_council"", ""ui.crest.rimehorn_clans"", ""ui.crest.sable_steppe"", ""ui.crest.saltwind_remnant"", ""ui.crest.sepulchral_synod"", ""ui.crest.underhush_exchange"", ""ui.crest.unsealed_companies"", ""ui.crest.velvet_meridian"", ""ui.crest.vesper_court"", ""ui.crest.wardhall_remnant"", ""unit.cavalry.ashen_compact"", ""unit.cavalry.brine_choir"", ""unit.cavalry.cairnwing_concord"", ""unit.cavalry.cinder_march"", ""unit.cavalry.cistern_assembly"", ""unit.cavalry.emberwake_convocation"", ""unit.cavalry.glass_tide"", ""unit.cavalry.iron_covenant"", ""unit.cavalry.lantern_hospices"", ""unit.cavalry.manytrack_moot"", ""unit.cavalry.margin_observance"", ""unit.cavalry.mire_courts"", ""unit.cavalry.morrow_spore"", ""unit.cavalry.red_sluice"", ""unit.cavalry.reedbound_council"", ""unit.cavalry.rimehorn_clans"", ""unit.cavalry.sable_steppe"", ""unit.cavalry.saltwind_remnant"", ""unit.cavalry.sepulchral_synod"", ""unit.cavalry.underhush_exchange"", ""unit.cavalry.unsealed_companies"", ""unit.cavalry.velvet_meridian"", ""unit.cavalry.vesper_court"", ""unit.cavalry.wardhall_remnant"", ""unit.coastal_warship.ashen_compact"", ""unit.coastal_warship.brine_choir"", ""unit.coastal_warship.cairnwing_concord"", ""unit.coastal_warship.cinder_march"", ""unit.coastal_warship.cistern_assembly"", ""unit.coastal_warship.emberwake_convocation"", ""unit.coastal_warship.glass_tide"", ""unit.coastal_warship.iron_covenant"", ""unit.coastal_warship.lantern_hospices"", ""unit.coastal_warship.manytrack_moot"", ""unit.coastal_warship.margin_observance"", ""unit.coastal_warship.mire_courts"", ""unit.coastal_warship.morrow_spore"", ""unit.coastal_warship.red_sluice"", ""unit.coastal_warship.reedbound_council"", ""unit.coastal_warship.rimehorn_clans"", ""unit.coastal_warship.sable_steppe"", ""unit.coastal_warship.saltwind_remnant"", ""unit.coastal_warship.sepulchral_synod"", ""unit.coastal_warship.underhush_exchange"", ""unit.coastal_warship.unsealed_companies"", ""unit.coastal_warship.velvet_meridian"", ""unit.coastal_warship.vesper_court"", ""unit.coastal_warship.wardhall_remnant"", ""unit.colonist.ashen_compact"", ""unit.colonist.brine_choir"", ""unit.colonist.cairnwing_concord"", ""unit.colonist.cinder_march"", ""unit.colonist.cistern_assembly"", ""unit.colonist.emberwake_convocation"", ""unit.colonist.glass_tide"", ""unit.colonist.iron_covenant"", ""unit.colonist.lantern_hospices"", ""unit.colonist.manytrack_moot"", ""unit.colonist.margin_observance"", ""unit.colonist.mire_courts"", ""unit.colonist.morrow_spore"", ""unit.colonist.red_sluice"", ""unit.colonist.reedbound_council"", ""unit.colonist.rimehorn_clans"", ""unit.colonist.sable_steppe"", ""unit.colonist.saltwind_remnant"", ""unit.colonist.sepulchral_synod"", ""unit.colonist.underhush_exchange"", ""unit.colonist.unsealed_companies"", ""unit.colonist.velvet_meridian"", ""unit.colonist.vesper_court"", ""unit.colonist.wardhall_remnant"", ""unit.guard.ashen_compact"", ""unit.guard.brine_choir"", ""unit.guard.cairnwing_concord"", ""unit.guard.cinder_march"", ""unit.guard.cistern_assembly"", ""unit.guard.emberwake_convocation"", ""unit.guard.glass_tide"", ""unit.guard.iron_covenant"", ""unit.guard.lantern_hospices"", ""unit.guard.manytrack_moot"", ""unit.guard.margin_observance"", ""unit.guard.mire_courts"", ""unit.guard.morrow_spore"", ""unit.guard.red_sluice"", ""unit.guard.reedbound_council"", ""unit.guard.rimehorn_clans"", ""unit.guard.sable_steppe"", ""unit.guard.saltwind_remnant"", ""unit.guard.sepulchral_synod"", ""unit.guard.underhush_exchange"", ""unit.guard.unsealed_companies"", ""unit.guard.velvet_meridian"", ""unit.guard.vesper_court"", ""unit.guard.wardhall_remnant"", ""unit.heavy_infantry.ashen_compact"", ""unit.heavy_infantry.brine_choir"", ""unit.heavy_infantry.cairnwing_concord"", ""unit.heavy_infantry.cinder_march"", ""unit.heavy_infantry.cistern_assembly"", ""unit.heavy_infantry.emberwake_convocation"", ""unit.heavy_infantry.glass_tide"", ""unit.heavy_infantry.iron_covenant"", ""unit.heavy_infantry.lantern_hospices"", ""unit.heavy_infantry.manytrack_moot"", ""unit.heavy_infantry.margin_observance"", ""unit.heavy_infantry.mire_courts"", ""unit.heavy_infantry.morrow_spore"", ""unit.heavy_infantry.red_sluice"", ""unit.heavy_infantry.reedbound_council"", ""unit.heavy_infantry.rimehorn_clans"", ""unit.heavy_infantry.sable_steppe"", ""unit.heavy_infantry.saltwind_remnant"", ""unit.heavy_infantry.sepulchral_synod"", ""unit.heavy_infantry.underhush_exchange"", ""unit.heavy_infantry.unsealed_companies"", ""unit.heavy_infantry.velvet_meridian"", ""unit.heavy_infantry.vesper_court"", ""unit.heavy_infantry.wardhall_remnant"", ""unit.ocean_warship.ashen_compact"", ""unit.ocean_warship.brine_choir"", ""unit.ocean_warship.cairnwing_concord"", ""unit.ocean_warship.cinder_march"", ""unit.ocean_warship.cistern_assembly"", ""unit.ocean_warship.emberwake_convocation"", ""unit.ocean_warship.glass_tide"", ""unit.ocean_warship.iron_covenant"", ""unit.ocean_warship.lantern_hospices"", ""unit.ocean_warship.manytrack_moot"", ""unit.ocean_warship.margin_observance"", ""unit.ocean_warship.mire_courts"", ""unit.ocean_warship.morrow_spore"", ""unit.ocean_warship.red_sluice"", ""unit.ocean_warship.reedbound_council"", ""unit.ocean_warship.rimehorn_clans"", ""unit.ocean_warship.sable_steppe"", ""unit.ocean_warship.saltwind_remnant"", ""unit.ocean_warship.sepulchral_synod"", ""unit.ocean_warship.underhush_exchange"", ""unit.ocean_warship.unsealed_companies"", ""unit.ocean_warship.velvet_meridian"", ""unit.ocean_warship.vesper_court"", ""unit.ocean_warship.wardhall_remnant"", ""unit.scout.ashen_compact"", ""unit.scout.brine_choir"", ""unit.scout.cairnwing_concord"", ""unit.scout.cinder_march"", ""unit.scout.cistern_assembly"", ""unit.scout.emberwake_convocation"", ""unit.scout.glass_tide"", ""unit.scout.iron_covenant"", ""unit.scout.lantern_hospices"", ""unit.scout.manytrack_moot"", ""unit.scout.margin_observance"", ""unit.scout.mire_courts"", ""unit.scout.morrow_spore"", ""unit.scout.red_sluice"", ""unit.scout.reedbound_council"", ""unit.scout.rimehorn_clans"", ""unit.scout.sable_steppe"", ""unit.scout.saltwind_remnant"", ""unit.scout.sepulchral_synod"", ""unit.scout.underhush_exchange"", ""unit.scout.unsealed_companies"", ""unit.scout.velvet_meridian"", ""unit.scout.vesper_court"", ""unit.scout.wardhall_remnant"", ""unit.spearman.ashen_compact"", ""unit.spearman.brine_choir"", ""unit.spearman.cairnwing_concord"", ""unit.spearman.cinder_march"", ""unit.spearman.cistern_assembly"", ""unit.spearman.emberwake_convocation"", ""unit.spearman.glass_tide"", ""unit.spearman.iron_covenant"", ""unit.spearman.lantern_hospices"", ""unit.spearman.manytrack_moot"", ""unit.spearman.margin_observance"", ""unit.spearman.mire_courts"", ""unit.spearman.morrow_spore"", ""unit.spearman.red_sluice"", ""unit.spearman.reedbound_council"", ""unit.spearman.rimehorn_clans"", ""unit.spearman.sable_steppe"", ""unit.spearman.saltwind_remnant"", ""unit.spearman.sepulchral_synod"", ""unit.spearman.underhush_exchange"", ""unit.spearman.unsealed_companies"", ""unit.spearman.velvet_meridian"", ""unit.spearman.vesper_court"", ""unit.spearman.wardhall_remnant"", ""unit.transport.ashen_compact"", ""unit.transport.brine_choir"", ""unit.transport.cairnwing_concord"", ""unit.transport.cinder_march"", ""unit.transport.cistern_assembly"", ""unit.transport.emberwake_convocation"", ""unit.transport.glass_tide"", ""unit.transport.iron_covenant"", ""unit.transport.lantern_hospices"", ""unit.transport.manytrack_moot"", ""unit.transport.margin_observance"", ""unit.transport.mire_courts"", ""unit.transport.morrow_spore"", ""unit.transport.red_sluice"", ""unit.transport.reedbound_council"", ""unit.transport.rimehorn_clans"", ""unit.transport.sable_steppe"", ""unit.transport.saltwind_remnant"", ""unit.transport.sepulchral_synod"", ""unit.transport.underhush_exchange"", ""unit.transport.unsealed_companies"", ""unit.transport.velvet_meridian"", ""unit.transport.vesper_court"", ""unit.transport.wardhall_remnant""]","[""inventory.json"", ""art-report.md""]",,,"Parent observed all 18 improvement choices, 17 blocked, on one eligible woodlot site (docs/hermes-analysis/ui/17-improvements-catalog). All 18 improvement images are already present. This is UI availability/priority hierarchy work, not a request to generate 18 missing assets."
ART-09,Additional static biome variation,P2,optional-readability-extension,36,64px ground tiles,12,0,"64x64 centered at (32,32)",Static,"{""Blender"": ""Optional volume study; no terrain rule generation"", ""PixelFactory"": ""New controlled original/native art with same footprint and palette"", ""handReview"": ""Required randomized region review after ART-03""}",Existing deterministic variant selection currently has exactly 3 slots,"Expand presentation variant slots/selectors, not simulation RNG","One additional tile per 12 biomes reaches the reference heuristic of 4 per biome; optional, not a current binding failure.",Variation quiets repetition rather than increasing noise,[],"[""inventory.json"", ""art-report.md""]",,,
ART-10,Town housing and construction diversity,P2,current-feature-visual-reuse,24,culture housing variants,"{""housing"": 48, ""construction"": 4}",0,"96x96 housing at (48,80); 64x64 construction at (32,48)",Static stage frames; no timer-driven progress invented,"{""Blender"": ""Good fit for modular original architecture/reference camera"", ""PixelFactory"": ""Native deliberate roof/wall/negative-space finish"", ""handReview"": ""Required village/town/city hierarchy and occupied-tile containment""}",Housing currently reuses 24 village sprites; construction uses code-drawn scaffolds,"Respect observed population, existing district selector, work queues and private/fog state","2 additional residential variants per 24 cultures = 48; 4 shared scaffolding states is an optional presentation estimate, not new buildings.",Occupied working towns vary without replacing actual approved civic/improvement sprites,[],"[""inventory.json"", ""art-report.md""]",,,
